Wavelength(nm),PHAN
341.409,1.105
341.79,0.895
342.17,0.826
342.55,0.81
342.931,0.804
343.311,0.791
343.691,0.786
344.071,0.785
344.451,0.791
344.831,0.784
345.211,0.791
345.591,0.794
345.971,0.791
346.351,0.79
346.731,0.788
347.111,0.788
347.49,0.79
347.87,0.783
348.25,0.777
348.629,0.768
349.009,0.763
349.389,0.752
349.768,0.749
350.147,0.744
350.527,0.739
350.906,0.731
351.286,0.725
351.665,0.718
352.044,0.71
352.423,0.707
352.802,0.7
353.182,0.696
353.561,0.69
353.94,0.685
354.319,0.682
354.698,0.679
355.077,0.672
355.455,0.671
355.834,0.665
356.213,0.66
356.592,0.657
356.971,0.654
357.349,0.648
357.728,0.64
358.106,0.632
358.485,0.626
358.863,0.622
359.242,0.616
359.62,0.611
359.999,0.605
360.377,0.6
360.755,0.594
361.133,0.588
361.512,0.585
361.89,0.58
362.268,0.575
362.646,0.57
363.024,0.565
363.402,0.562
363.78,0.558
364.158,0.554
364.536,0.549
364.914,0.547
365.291,0.544
365.669,0.541
366.047,0.539
366.424,0.537
366.802,0.536
367.18,0.534
367.557,0.533
367.935,0.531
368.312,0.53
368.689,0.529
369.067,0.529
369.444,0.529
369.821,0.529
370.198,0.529
370.576,0.528
370.953,0.528
371.33,0.529
371.707,0.529
372.084,0.53
372.461,0.531
372.838,0.531
373.215,0.532
373.592,0.534
373.968,0.534
374.345,0.535
374.722,0.536
375.098,0.538
375.475,0.538
375.852,0.54
376.228,0.541
376.605,0.543
376.981,0.543
377.358,0.544
377.734,0.546
378.11,0.547
378.487,0.548
378.863,0.549
379.239,0.551
379.615,0.552
379.991,0.554
380.367,0.555
380.743,0.557
381.119,0.558
381.495,0.56
381.871,0.561
382.247,0.563
382.623,0.565
382.999,0.566
383.374,0.568
383.75,0.57
384.126,0.572
384.501,0.574
384.877,0.576
385.252,0.578
385.628,0.58
386.003,0.583
386.379,0.585
386.754,0.588
387.129,0.591
387.505,0.593
387.88,0.596
388.255,0.6
388.63,0.603
389.005,0.607
389.38,0.611
389.755,0.615
390.13,0.619
390.505,0.623
390.88,0.628
391.255,0.632
391.63,0.636
392.005,0.641
