Wavelength(nm),PHAT
341.409,0.338
341.79,0.363
342.17,0.349
342.55,0.339
342.931,0.339
343.311,0.35
343.691,0.356
344.071,0.369
344.451,0.371
344.831,0.378
345.211,0.379
345.591,0.384
345.971,0.389
346.351,0.394
346.731,0.398
347.111,0.403
347.49,0.409
347.87,0.412
348.25,0.415
348.629,0.42
349.009,0.423
349.389,0.428
349.768,0.434
350.147,0.437
350.527,0.441
350.906,0.445
351.286,0.449
351.665,0.455
352.044,0.459
352.423,0.464
352.802,0.47
353.182,0.475
353.561,0.478
353.94,0.483
354.319,0.487
354.698,0.491
355.077,0.494
355.455,0.497
355.834,0.502
356.213,0.506
356.592,0.509
356.971,0.514
357.349,0.519
357.728,0.528
358.106,0.538
358.485,0.546
358.863,0.552
359.242,0.56
359.62,0.565
359.999,0.573
360.377,0.579
360.755,0.588
361.133,0.595
361.512,0.601
361.89,0.609
362.268,0.615
362.646,0.622
363.024,0.628
363.402,0.636
363.78,0.645
364.158,0.651
364.536,0.658
364.914,0.664
365.291,0.671
365.669,0.678
366.047,0.685
366.424,0.691
366.802,0.698
367.18,0.704
367.557,0.71
367.935,0.717
368.312,0.722
368.689,0.726
369.067,0.731
369.444,0.734
369.821,0.739
370.198,0.742
370.576,0.745
370.953,0.749
371.33,0.75
371.707,0.75
372.084,0.748
372.461,0.746
372.838,0.744
373.215,0.739
373.592,0.734
373.968,0.727
374.345,0.72
374.722,0.711
375.098,0.702
375.475,0.693
375.852,0.682
376.228,0.671
376.605,0.66
376.981,0.649
377.358,0.636
377.734,0.625
378.11,0.612
378.487,0.599
378.863,0.587
379.239,0.574
379.615,0.562
379.991,0.549
380.367,0.537
380.743,0.525
381.119,0.514
381.495,0.501
381.871,0.49
382.247,0.479
382.623,0.467
382.999,0.456
383.374,0.445
383.75,0.435
384.126,0.425
384.501,0.415
384.877,0.406
385.252,0.396
385.628,0.387
386.003,0.378
386.379,0.37
386.754,0.361
387.129,0.354
387.505,0.347
387.88,0.34
388.255,0.333
388.63,0.327
389.005,0.321
389.38,0.315
389.755,0.31
390.13,0.305
390.505,0.3
390.88,0.295
391.255,0.291
391.63,0.287
392.005,0.283
392.379,0.279
392.754,0.275
