V(L) photopic,scotopic,E(L) ,P43
0,5.9,33,83
0,7.9,35.77,125
1,10.06,38.54,139
1,13.3,41.42,109
1,17.7,41,51
1,22.1,47.4,21
1,31.38,50.51,13
2,40.66,53.62,4
2,54.82,56.8,0
3,73.86,60.05,0
4,92.9,63.3,0
5,129.74,66.7,0
6,166.58,70.11,0
7,217.68,73.57,2
10,283.04,77.08,5
12,348.4,80.6,8
16,450.64,84.17,31
20,552.88,87.74,68
26,676.4,91.24,118
33,821.2,94.67,143
40,966,98.1,102
53,1154,101.18,66
66,1342,104.26,29
82,1548.4,107.12,10
99,1773.2,109.76,9
116,1998,112.4,7
137,2248.8,114.54,20
158,2499.6,116.68,33
180,2756.2,118.5,48
205,3018.6,120,66
230,3281,121.5,84
257,3541,122.28,57
284,3801,123.06,30
314,4054.8,123.56,14
347,4302.4,123.78,7
380,4550,124,0
420,4781.6,123.84,4
460,5013.2,123.68,7
504,5237.6,123.5,11
552,5454.8,123.3,16
600,5672,123.1,21
656,5885.2,123.18,13
711,6098.4,123.26,4
773,6315.2,123.4,1
842,6535.6,123.6,4
910,6756,123.8,6
996,6988.4,123.88,12
1083,7220.8,123.96,18
1176,7455.6,123.98,19
1284,7692.8,132.94,16
1390,7930,123.9,12
1511,9161.6,123.51,21
1632,8393.2,123.12,30
1771,8615.8,122.48,59
1925,8829.4,121.59,110
2080,9043,120.7,160
2282,9222.2,119.18,165
2485,9401.4,117.66,170
2715,9556.2,115.94,146
2972,9686.6,114.02,91
3230,9817,112.1,36
3567,9883.8,110.05,26
3904,9950.6,108,15
4264,9980.4,106.04,8
4647,9973.2,104.17,4
5030,9966,102.3,0
5451,9879.6,100.9,0
5872,9793.2,99.51,0
6286,9670.4,98.43,0
6693,9511.2,97.66,0
7100,9352,96.9,0
7433,9129.6,96.85,0
7766,8907.2,96.8,0
8070,8658.8,97.02,0
8345,8384.4,97.51,0
8620,8110,98,0
8832,7798.8,98.78,0
9043,7487.6,99.55,0
9227,7165,100.37,16
9384,6831,101.24,48
9540,6497,102.1,50
9626,6155.8,102.84,198
9645,5814.6,103.58,434
9750,5476.8,104.2,669
9832,5142.4,104.7,974
9891,4808,105.2,593
9950,4490.8,105.39,463
9971,4173.6,105.58,238
9992,3869.6,105.6,137
9992,3578.8,105.45,36
9971,3288,105.3,23
9950,3028.4,104.82,17
9884,2768.8,104.35,12
9819,2526.4,103.75,7
9733,2301.2,103.02,4
9520,2076,102.3,0
9374,1886.4,101.4,0
9227,1696.8,100.5,0
9063,1524,99.6,2
8882,1368,98.7,7
8700,1212,97.8,12
8485,1086.8,96.85,28
8270,961.6,95.9,61
8044,850.2,94.98,104
7807,752.6,94.09,160
7570,655,93.2,199
7322,580.6,92.41,153
7073,506.2,91.62,107
6821,441.7,90.92,69
6566,387.1,90.31,39
6310,332.5,89.7,9
6053,291.98,89.35,5
5796,251.46,89,2
5540,216.82,88.74,0
5285,188.06,88.57,0
5030,159.3,88.4,0
4783,139.1,88.32,3
4536,118.9,88.23,7
4292,101.78,88.17,10
4051,87.74,88.14,25
3810,73.7,88.1,59
3570,64.1,88.08,115
3330,54.5,88.07,136
3098,46.43,88.05,94
2874,39.89,88.02,39
2650,33.15,88,17
2458,28.95,87.94,10
2266,24.55,87.89,3
2086,20.87,87.85,1
1918,17.92,87.82,4
1750,14.97,87.8,6
1603,13,87.88,8
1456,11.03,87.95,9
1320,9.39,88.03,9
1195,8.08,88.12,7
1070,6.77,88.2,5
968,5.9,88.2,7
867,5.03,88.2,10
775,4.3,88.14,10
692,3.71,88.02,7
610,3.13,87.9,5
544,2.74,87.63,7
479,2.34,87.36,10
421,2.01,87.04,13
370,1.75,86.67,18
320,1.48,86.3,23
285,1.3,85.9,21
250,1.12,85.5,20
220,0.96,85.04,18
195,0.84,84.52,17
170,0.72,84,16
150,0.63,83.28,21
129,0.54,82.57,16
112,0.47,81.81,11
97,0.41,81,6
82,0.35,80.2,0
72,0.31,79.42,0
62,0.27,78.63,0
54,0.24,77.85,0
47,0.21,77.08,0
41,0.18,76.3,0
36,0.16,75.52,0
31,0.14,74.75,0
27,0.12,73.97,0
24,0.11,73.18,0
21,0.09,72.4,0
19,0.08,71.6,0
16,0.07,70.8,0
14,0.06,69.98,0
12,0.06,68.14,0
10,0.05,68.3,0
9,0.04,67.5,0
8,0.04,66.7,0
7,0.03,65.92,0
6,0.03,65.16,0
5,0.03,64.4,0
5,0.02,63.76,0
4,0.02,63.12,0
4,0.02,62.54,0
3,0.02,62.02,0
3,0.01,61.5,0
3,0.01,60.98,0
2,0.01,60.46,0
1,0.01,60,0
1,0,59.6,0
1,0,59.2,0
1,0,58.92,0
1,0,58.64,0
1,0,58.42,0
1,0,58.96,0
1,0,58.1,0
1,0,58.06,0
0,0,58.02,0
0,0,58.04,0
0,0,58.12,0
0,0,58.2,0
0,0,34.92,0
0,0,11.64,0
0,0,0,0
0,0,0,0
0,0,0,0
