Wavelength(nm),PHAT,PHAN,PHATh
341.409,0.338,1.105,0.474
341.79,0.363,0.895,0.444
342.17,0.349,0.826,0.445
342.55,0.339,0.81,0.436
342.931,0.339,0.804,0.436
343.311,0.35,0.791,0.441
343.691,0.356,0.786,0.448
344.071,0.369,0.785,0.448
344.451,0.371,0.791,0.458
344.831,0.378,0.784,0.465
345.211,0.379,0.791,0.475
345.591,0.384,0.794,0.476
345.971,0.389,0.791,0.479
346.351,0.394,0.79,0.483
346.731,0.398,0.788,0.487
347.111,0.403,0.788,0.491
347.49,0.409,0.79,0.496
347.87,0.412,0.783,0.502
348.25,0.415,0.777,0.505
348.629,0.42,0.768,0.508
349.009,0.423,0.763,0.512
349.389,0.428,0.752,0.515
349.768,0.434,0.749,0.52
350.147,0.437,0.744,0.522
350.527,0.441,0.739,0.528
350.906,0.445,0.731,0.532
351.286,0.449,0.725,0.538
351.665,0.455,0.718,0.544
352.044,0.459,0.71,0.55
352.423,0.464,0.707,0.554
352.802,0.47,0.7,0.56
353.182,0.475,0.696,0.565
353.561,0.478,0.69,0.57
353.94,0.483,0.685,0.573
354.319,0.487,0.682,0.578
354.698,0.491,0.679,0.582
355.077,0.494,0.672,0.585
355.455,0.497,0.671,0.589
355.834,0.502,0.665,0.594
356.213,0.506,0.66,0.598
356.592,0.509,0.657,0.603
356.971,0.514,0.654,0.607
357.349,0.519,0.648,0.615
357.728,0.528,0.64,0.623
358.106,0.538,0.632,0.633
358.485,0.546,0.626,0.641
358.863,0.552,0.622,0.649
359.242,0.56,0.616,0.657
359.62,0.565,0.611,0.666
359.999,0.573,0.605,0.673
360.377,0.579,0.6,0.679
360.755,0.588,0.594,0.686
361.133,0.595,0.588,0.694
361.512,0.601,0.585,0.702
361.89,0.609,0.58,0.71
362.268,0.615,0.575,0.718
362.646,0.622,0.57,0.726
363.024,0.628,0.565,0.732
363.402,0.636,0.562,0.737
363.78,0.645,0.558,0.744
364.158,0.651,0.554,0.752
364.536,0.658,0.549,0.759
364.914,0.664,0.547,0.766
365.291,0.671,0.544,0.773
365.669,0.678,0.541,0.78
366.047,0.685,0.539,0.788
366.424,0.691,0.537,0.796
366.802,0.698,0.536,0.804
367.18,0.704,0.534,0.809
367.557,0.71,0.533,0.816
367.935,0.717,0.531,0.824
368.312,0.722,0.53,0.83
368.689,0.726,0.529,0.837
369.067,0.731,0.529,0.846
369.444,0.734,0.529,0.855
369.821,0.739,0.529,0.862
370.198,0.742,0.529,0.869
370.576,0.745,0.528,0.878
370.953,0.749,0.528,0.885
371.33,0.75,0.529,0.892
371.707,0.75,0.529,0.901
372.084,0.748,0.53,0.908
372.461,0.746,0.531,0.917
372.838,0.744,0.531,0.926
373.215,0.739,0.532,0.936
373.592,0.734,0.534,0.943
373.968,0.727,0.534,0.951
374.345,0.72,0.535,0.96
374.722,0.711,0.536,0.966
375.098,0.702,0.538,0.974
375.475,0.693,0.538,0.982
375.852,0.682,0.54,0.99
376.228,0.671,0.541,0.998
376.605,0.66,0.543,1.005
376.981,0.649,0.543,1.011
377.358,0.636,0.544,1.019
377.734,0.625,0.546,1.025
378.11,0.612,0.547,1.032
378.487,0.599,0.548,1.04
378.863,0.587,0.549,1.05
379.239,0.574,0.551,1.06
379.615,0.562,0.552,1.066
379.991,0.549,0.554,1.075
380.367,0.537,0.555,1.084
380.743,0.525,0.557,1.091
381.119,0.514,0.558,1.099
381.495,0.501,0.56,1.107
381.871,0.49,0.561,1.115
382.247,0.479,0.563,1.121
382.623,0.467,0.565,1.13
382.999,0.456,0.566,1.136
383.374,0.445,0.568,1.144
383.75,0.435,0.57,1.153
384.126,0.425,0.572,1.16
384.501,0.415,0.574,1.167
384.877,0.406,0.576,1.175
385.252,0.396,0.578,1.181
385.628,0.387,0.58,1.19
386.003,0.378,0.583,1.196
386.379,0.37,0.585,1.205
386.754,0.361,0.588,1.212
387.129,0.354,0.591,1.22
387.505,0.347,0.593,1.231
387.88,0.34,0.596,1.236
388.255,0.333,0.6,1.241
388.63,0.327,0.603,1.246
389.005,0.321,0.607,1.254
389.38,0.315,0.611,1.261
389.755,0.31,0.615,1.269
390.13,0.305,0.619,1.277
390.505,0.3,0.623,1.285
390.88,0.295,0.628,1.291
391.255,0.291,0.632,1.3
391.63,0.287,0.636,1.307
392.005,0.283,0.641,1.316
392.379,0.279,0.646,1.324
392.754,0.275,0.651,1.331
393.129,0.272,0.656,1.339
393.503,0.268,0.661,1.347
393.878,0.265,0.667,1.355
394.252,0.262,0.673,1.361
394.627,0.259,0.679,1.365
395.001,0.256,0.686,1.373
395.375,0.254,0.692,1.379
395.75,0.251,0.698,1.383
396.124,0.248,0.705,1.39
396.498,0.246,0.711,1.395
396.872,0.244,0.717,1.403
397.247,0.241,0.724,1.409
397.621,0.239,0.731,1.415
397.995,0.237,0.738,1.423
398.369,0.235,0.745,1.43
398.743,0.233,0.752,1.438
399.117,0.231,0.759,1.444
399.491,0.229,0.767,1.451
399.864,0.227,0.774,1.457
400.238,0.225,0.782,1.464
400.612,0.223,0.789,1.471
400.986,0.221,0.797,1.478
401.359,0.22,0.804,1.486
401.733,0.218,0.812,1.491
402.107,0.216,0.819,1.498
402.48,0.215,0.827,1.503
402.854,0.213,0.835,1.508
403.227,0.212,0.842,1.516
403.601,0.21,0.85,1.523
403.974,0.209,0.857,1.528
404.347,0.207,0.864,1.535
404.721,0.206,0.871,1.543
405.094,0.204,0.879,1.548
405.467,0.203,0.886,1.552
405.84,0.201,0.892,1.558
406.213,0.2,0.9,1.566
406.586,0.199,0.907,1.569
406.959,0.197,0.914,1.575
407.332,0.196,0.921,1.58
407.705,0.195,0.928,1.586
408.078,0.193,0.935,1.593
408.451,0.192,0.942,1.597
408.824,0.191,0.949,1.603
409.197,0.19,0.956,1.609
409.569,0.188,0.963,1.614
409.942,0.187,0.969,1.619
410.315,0.186,0.976,1.625
410.687,0.185,0.982,1.631
411.06,0.184,0.988,1.639
411.432,0.183,0.995,1.644
411.805,0.182,1.002,1.65
412.177,0.181,1.008,1.652
412.55,0.18,1.014,1.657
412.922,0.179,1.021,1.662
413.294,0.178,1.027,1.667
413.667,0.176,1.034,1.671
414.039,0.176,1.04,1.676
414.411,0.175,1.047,1.679
414.783,0.174,1.053,1.683
415.155,0.173,1.06,1.686
415.527,0.172,1.066,1.689
415.899,0.171,1.072,1.694
416.271,0.17,1.079,1.699
416.643,0.169,1.086,1.702
417.015,0.168,1.093,1.707
417.387,0.167,1.1,1.71
417.759,0.166,1.106,1.713
418.13,0.166,1.113,1.716
418.502,0.165,1.12,1.72
418.874,0.164,1.127,1.723
419.245,0.163,1.134,1.726
419.617,0.162,1.141,1.726
419.988,0.162,1.149,1.726
420.36,0.161,1.157,1.724
420.731,0.161,1.164,1.727
421.103,0.16,1.172,1.725
421.474,0.159,1.18,1.724
421.845,0.159,1.188,1.723
422.217,0.158,1.196,1.72
422.588,0.158,1.204,1.715
422.959,0.157,1.212,1.71
423.33,0.157,1.221,1.704
423.701,0.156,1.229,1.697
424.072,0.156,1.238,1.689
424.443,0.156,1.246,1.678
424.814,0.155,1.255,1.667
425.185,0.155,1.264,1.655
425.556,0.155,1.272,1.641
425.927,0.154,1.281,1.626
426.298,0.154,1.29,1.609
426.668,0.154,1.299,1.593
427.039,0.154,1.307,1.576
427.41,0.154,1.316,1.557
427.78,0.154,1.325,1.538
428.151,0.154,1.334,1.518
428.521,0.154,1.342,1.498
428.892,0.154,1.351,1.477
429.262,0.154,1.359,1.455
429.633,0.154,1.368,1.434
430.003,0.154,1.377,1.413
430.373,0.155,1.385,1.392
430.744,0.155,1.393,1.371
431.114,0.155,1.401,1.349
431.484,0.156,1.409,1.327
431.854,0.156,1.417,1.306
432.224,0.156,1.424,1.284
432.594,0.157,1.432,1.264
432.964,0.157,1.44,1.243
433.334,0.158,1.447,1.223
433.704,0.159,1.455,1.204
434.074,0.159,1.461,1.184
434.444,0.16,1.468,1.165
434.814,0.161,1.475,1.147
435.183,0.161,1.481,1.128
435.553,0.162,1.487,1.111
435.923,0.163,1.493,1.093
436.292,0.164,1.499,1.076
436.662,0.165,1.504,1.059
437.031,0.166,1.51,1.042
437.401,0.167,1.514,1.027
437.77,0.168,1.519,1.011
438.14,0.169,1.523,0.996
438.509,0.17,1.528,0.981
